aX,aY,aZ,gX,gY,gZ
0.080,0.750,-0.210,1.437,0.000,-0.687
-0.200,0.900,-0.400,0.750,-0.562,0.125
-0.200,0.900,-0.400,0.750,-0.562,0.125
-0.250,0.920,-0.460,-0.687,-0.312,0.187
-0.320,0.950,-0.440,-2.188,0.437,-0.437
-0.320,0.950,-0.440,-2.188,0.437,-0.437
-0.410,0.920,-0.460,-3.125,0.375,-1.125
-0.410,0.740,-0.270,-3.188,-0.562,-2.000
-0.410,0.740,-0.270,-3.188,-0.562,-2.000
-0.260,0.620,-0.100,-2.813,-1.000,-2.625
-0.260,0.450,0.000,-2.125,-0.625,-2.688
-0.260,0.450,0.000,-0.812,0.000,-2.250
-0.320,0.420,0.000,-0.812,0.000,-2.250
-0.020,-0.110,0.110,0.812,-0.125,-1.562
-0.020,-0.110,0.110,2.875,-1.000,-1.625
0.090,-0.030,0.140,2.875,-1.000,-1.625
0.130,0.000,0.130,4.250,-1.187,-2.563
-0.170,-0.070,-0.250,3.313,1.062,-1.750
-0.170,-0.070,-0.250,3.313,1.062,-1.750
-0.280,0.240,-0.190,0.187,3.813,1.125
-0.130,0.360,-0.150,-2.563,4.437,3.625
-0.130,0.360,-0.150,-2.563,4.437,3.625
-0.150,0.270,-0.220,-2.313,2.750,3.375
-0.460,0.250,-0.330,-1.250,0.312,2.000
-0.210,0.180,-0.190,-0.187,-2.813,1.250
-0.210,0.180,-0.190,1.187,-5.250,0.500
0.020,0.150,0.020,1.187,-5.250,0.500
0.160,0.150,0.130,2.750,-5.625,-1.062

-3.090,1.000,1.700,-13.125,30.250,-48.063
-3.090,1.000,1.700,-24.625,74.938,-72.313
-4.640,0.640,1.930,-24.625,74.938,-72.313
-10.530,-2.950,0.810,-33.875,123.750,-87.000
-14.320,-3.140,-1.660,-45.375,157.687,-75.125
-14.320,-3.140,-1.660,-45.375,157.687,-75.125
-16.880,-1.310,-3.680,-55.813,176.187,-40.688
